Nesting_Site_Code;Nest_code;Animal_Species;Plot_Code;Vegetation_Type;VEG;Plant_Code;Tree_Site;Tree_Nest;T_L_R_H;Nest_height;Species_Code;Species;Family;Tree_Height;DBH;Nest_material;Integration;Nest_Type;Nest_Type2
S_Ch_022;N_Ch_100;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1576;Pl_1576-S_Ch_022;Pl_1576-N_Ch_100;Tree;17;Esp_163;Heisteria parvifolia;Olacaceae;32;60.51;Tree;Tree;Side;Height
S_Ch_022;N_Ch_101;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1576;Pl_1576-S_Ch_022;Pl_1576-N_Ch_101;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;32;60.51;Tree;Tree;Top;Height
S_Ch_022;N_Ch_102;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1576;Pl_1576-S_Ch_022;Pl_1576-N_Ch_102;Tree;18;Esp_163;Heisteria parvifolia;Olacaceae;32;60.51;Tree;Tree;Side;Height
S_Ch_023;N_Ch_103;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1564;Pl_1564-S_Ch_023;Pl_1564-N_Ch_103;Tree;18;Esp_362;Uapaca acuminata;Euphorbiaceae;30;31.21;Tree;Tree;Side;Height
S_Ch_023;N_Ch_104;Chimpanzee;Chim_062;Riparian forest;RIP;Plsc_02;Plsc_02-S_Ch_023;Plsc_02-N_Ch_104;Tree;8;Esp_217;Maesobotrya sp;Euphorbiaceae;8;7.36;Tree;Tree-Tree;Top-Side;Height
S_Ch_023;N_Ch_104;Chimpanzee;Chim_062;Riparian forest;RIP;Pl_1573;Pl_1573-S_Ch_023;Pl_1573-N_Ch_104;Tree;8;Esp_368;Uvariastrum pierreanum;Annonaceae;9;12.1;Tree;Tree-Tree;Top-Side;Height
S_Ch_024;N_Ch_105;Chimpanzee;Chim_063;Riparian forest;RIP;Pl_1580;Pl_1580-S_Ch_024;Pl_1580-N_Ch_105;Tree;14;Esp_254;Omphalocarpum elatum;Sapotaceae;20;25.48;Tree;Tree;Side;Height
S_Ch_024;N_Ch_106;Chimpanzee;Chim_063;Riparian forest;RIP;Pl_1580;Pl_1580-S_Ch_024;Pl_1580-N_Ch_106;Tree;16;Esp_254;Omphalocarpum elatum;Sapotaceae;20;25.48;Tree;Tree;Side;Height
S_Ch_024;N_Ch_107;Chimpanzee;Chim_063;Riparian forest;RIP;Pl_1585;Pl_1585-S_Ch_024;Pl_1585-N_Ch_107;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;28;44.27;Tree;Tree;Side;Height
S_Ch_024;N_Ch_108;Chimpanzee;Chim_063;Riparian forest;RIP;Pl_1589;Pl_1589-S_Ch_024;Pl_1589-N_Ch_108;Tree;22;Esp_163;Heisteria parvifolia;Olacaceae;33;48.73;Tree;Tree;Side;Height
S_Ch_025;N_Ch_109;Chimpanzee;Chim_056;Swamp;SW;Pl_1427;Pl_1427-S_Ch_025;Pl_1427-N_Ch_109;Tree;25;Esp_366;Uapaca vanhoutei;Euphorbiaceae;30;47.77;Tree;Tree;Side;Height
S_Ch_025;N_Ch_110;Chimpanzee;Chim_056;Swamp;SW;Pl_1427;Pl_1427-S_Ch_025;Pl_1427-N_Ch_110;Tree;24;Esp_366;Uapaca vanhoutei;Euphorbiaceae;30;47.77;Tree;Tree;Side;Height
S_Ch_025;N_Ch_111;Chimpanzee;Chim_056;Swamp;SW;Pl_1426;Pl_1426-S_Ch_025;Pl_1426-N_Ch_111;Tree;23;Esp_366;Uapaca vanhoutei;Euphorbiaceae;28;20.38;Tree;Tree;Side;Height
S_Ch_025;N_Ch_112;Chimpanzee;Chim_056;Swamp;SW;Pl_1428;Pl_1428-S_Ch_025;Pl_1428-N_Ch_112;Tree;28;Esp_354;Trichilia gilgiana;Meliaceae;30;85.03;Tree;Tree;Side;Height
S_Ch_026;N_Ch_113;Chimpanzee;Chim_056;Swamp;SW;Pl_1424;Pl_1424-S_Ch_026;Pl_1424-N_Ch_113;Tree;15;Esp_097;Desbordesia glaucescens;Irvingiaceae;20;12.83;Tree;Tree;Side;Height
S_Ch_026;N_Ch_114;Chimpanzee;Chim_056;Swamp;SW;Pl_1425;Pl_1425-S_Ch_026;Pl_1425-N_Ch_114;Tree;18;Esp_366;Uapaca vanhoutei;Euphorbiaceae;22;15.41;Tree;Tree;Side;Height
S_Ch_026;N_Ch_115;Chimpanzee;Chim_056;Swamp;SW;Pl_1429;Pl_1429-S_Ch_026;Pl_1429-N_Ch_115;Tree;29;Esp_366;Uapaca vanhoutei;Euphorbiaceae;30;46.18;Tree;Tree;Top;Height
S_Ch_026;N_Ch_116;Chimpanzee;Chim_056;Swamp;SW;NA;NA-S_Ch_026;NA-N_Ch_116;Herb;0;Esp_232;Megaphrynium velutinum;Marantaceae;NA;NA;Herb;NA;Ground;Ground
S_Ch_030;N_Ch_124;Chimpanzee;Chim_038;Old secondary forest;OSF;Pl_0958;Pl_0958-S_Ch_030;Pl_0958-N_Ch_124;Tree;9;Esp_163;Heisteria parvifolia;Olacaceae;23;34.39;Tree;Tree;Side;Height
S_Ch_031;N_Ch_125;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1629;Pl_1629-S_Ch_031;Pl_1629-N_Ch_125;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;33;39.81;Tree;Tree;Side;Height
S_Ch_031;N_Ch_126;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1634;Pl_1634-S_Ch_031;Pl_1634-N_Ch_126;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;25;28.66;Tree;Tree;Side;Height
S_Ch_031;N_Ch_127;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1639;Pl_1639-S_Ch_031;Pl_1639-N_Ch_127;Tree;22;Esp_304;Santiria trimera;Burseraceae;26;23.89;Tree;Tree;Side;Height
S_Ch_031;N_Ch_128;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1642;Pl_1642-S_Ch_031;Pl_1642-N_Ch_128;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;24;27.71;Tree;Tree;Side;Height
S_Ch_031;N_Ch_129;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1650;Pl_1650-S_Ch_031;Pl_1650-N_Ch_129;Tree;14;Esp_254;Omphalocarpum elatum;Sapotaceae;22;33.76;Tree;Tree;Side;Height
S_Ch_031;N_Ch_130;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1650;Pl_1650-S_Ch_031;Pl_1650-N_Ch_130;Tree;16;Esp_254;Omphalocarpum elatum;Sapotaceae;22;33.76;Tree;Tree;Side;Height
S_Ch_032;N_Ch_131;Chimpanzee;Chim_065;Old secondary forest;OSF;Plsc_03;Plsc_03-S_Ch_032;Plsc_03-N_Ch_131;Tree;14;Esp_032;Antidesma lacinata;Euphorbiaceae;14;9.94;Tree;Tree;Side;Height
S_Ch_032;N_Ch_132;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1637;Pl_1637-S_Ch_032;Pl_1637-N_Ch_132;Tree;18;Esp_163;Heisteria parvifolia;Olacaceae;18;33.44;Tree;Tree;Side;Height
S_Ch_032;N_Ch_133;Chimpanzee;Chim_065;Old secondary forest;OSF;Pl_1637;Pl_1637-S_Ch_032;Pl_1637-N_Ch_133;Tree;21;Esp_163;Heisteria parvifolia;Olacaceae;21;33.44;Tree;Tree;Side;Height
S_Ch_033;N_Ch_134;Chimpanzee;Chim_037;Old secondary forest;OSF;Pl_0920;Pl_0920-S_Ch_033;Pl_0920-N_Ch_134;Tree;13;Esp_163;Heisteria parvifolia;Olacaceae;30;30.89;Tree;Tree;Side;Height
S_Ch_033;N_Ch_135;Chimpanzee;Chim_037;Old secondary forest;OSF;Pl_0928;Pl_0928-S_Ch_033;Pl_0928-N_Ch_135;Tree;11;Esp_363;Uapaca guineensis;Euphorbiaceae;11;21.66;Tree;Tree;Top;Height
S_Ch_034;N_Ch_136;Chimpanzee;Chim_036;Old secondary forest;OSF;Pl_0889;Pl_0889-S_Ch_034;Pl_0889-N_Ch_136;Tree;11;Esp_163;Heisteria parvifolia;Olacaceae;30;36.94;Tree;Tree;Side;Height
S_Ch_034;N_Ch_137;Chimpanzee;Chim_036;Old secondary forest;OSF;Pl_0889;Pl_0889-S_Ch_034;Pl_0889-N_Ch_137;Tree;9;Esp_163;Heisteria parvifolia;Olacaceae;30;36.94;Tree;Tree;Side;Height
S_Ch_034;N_Ch_138;Chimpanzee;Chim_036;Old secondary forest;OSF;Pl_0897;Pl_0897-S_Ch_034;Pl_0897-N_Ch_138;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;29;32.48;Tree;Tree;Side;Height
S_Ch_035;N_Ch_139;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1396;Pl_1396-S_Ch_035;Pl_1396-N_Ch_139;Tree;7;Esp_314;Sorindeia grandifolia;Anacardiaceae;18;28.66;Tree;Tree;Side;Height
S_Ch_035;N_Ch_140;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1396;Pl_1396-S_Ch_035;Pl_1396-N_Ch_140;Tree;8;Esp_314;Sorindeia grandifolia;Anacardiaceae;18;28.66;Tree;Tree;Side;Height
S_Ch_035;N_Ch_141;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1393;Pl_1393-S_Ch_035;Pl_1393-N_Ch_141;Tree;9;Esp_202;Lepidobotrys staudtii;Lepidobotryaceae;17;26.46;Tree;Tree;Side;Height
S_Ch_036;N_Ch_142;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1393;Pl_1393-S_Ch_036;Pl_1393-N_Ch_142;Tree;7;Esp_202;Lepidobotrys staudtii;Lepidobotryaceae;17;26.46;Tree;Tree;Top;Height
S_Ch_036;N_Ch_143;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1372;Pl_1372-S_Ch_036;Pl_1372-N_Ch_143;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;28;49.36;Tree;Tree;Side;Height
S_Ch_036;N_Ch_144;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1379;Pl_1379-S_Ch_036;Pl_1379-N_Ch_144;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;22;23.38;Tree;Tree;Side;Height
S_Ch_036;N_Ch_145;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1374;Pl_1374-S_Ch_036;Pl_1374-N_Ch_145;Tree;15;Esp_362;Uapaca acuminata;Euphorbiaceae;36;45.86;Tree;Tree-Tree;Top-Side;Height
S_Ch_036;N_Ch_145;Chimpanzee;Chim_054;Old secondary forest;OSF;Pl_1375;Pl_1375-S_Ch_036;Pl_1375-N_Ch_145;Tree;15;Esp_278;Polyalthia suaveolens;Annonaceae;15;17.26;Tree;Tree-Tree;Top-Side;Height
S_Ch_037;N_Ch_146;Chimpanzee;Chim_050;Old secondary forest;OSF;Pl_1312;Pl_1312-S_Ch_037;Pl_1312-N_Ch_146;Tree;14;Esp_363;Uapaca guineensis;Euphorbiaceae;14;14.33;Tree;Tree;Top;Height
S_Ch_037;N_Ch_147;Chimpanzee;Chim_050;Old secondary forest;OSF;Pl_1312;Pl_1312-S_Ch_037;Pl_1312-N_Ch_147;Tree;11;Esp_363;Uapaca guineensis;Euphorbiaceae;14;14.33;Tree;Tree;Side;Height
S_Ch_037;N_Ch_148;Chimpanzee;Chim_050;Old secondary forest;OSF;Pl_1312;Pl_1312-S_Ch_037;Pl_1312-N_Ch_148;Tree;5;Esp_363;Uapaca guineensis;Euphorbiaceae;14;14.33;Tree;Tree;Side;Height
S_Ch_039;N_Ch_151;Chimpanzee;Chim_126;Old secondary forest;OSF;Pl_3184;Pl_3184-S_Ch_039;Pl_3184-N_Ch_151;Tree;27;Esp_163;Heisteria parvifolia;Olacaceae;30;49.68;Tree;Tree;Side;Height
S_Ch_040;N_Ch_152;Chimpanzee;Chim_048;Old secondary forest;OSF;Pl_1273;Pl_1273-S_Ch_040;Pl_1273-N_Ch_152;Tree;9;Esp_278;Polyalthia suaveolens;Annonaceae;9;14.55;Tree;Tree;Top;Height
S_Ch_040;N_Ch_153;Chimpanzee;Chim_048;Old secondary forest;OSF;Pl_1303;Pl_1303-S_Ch_040;Pl_1303-N_Ch_153;Tree;7;Esp_314;Sorindeia grandifolia;Anacardiaceae;16;11.78;Tree;Tree;Side;Height
S_Ch_040;N_Ch_154;Chimpanzee;Chim_048;Old secondary forest;OSF;Pl_1303;Pl_1303-S_Ch_040;Pl_1303-N_Ch_154;Tree;9;Esp_314;Sorindeia grandifolia;Anacardiaceae;16;11.78;Tree;Tree;Side;Height
S_Ch_041;N_Ch_155;Chimpanzee;Chim_047;Old secondary forest;OSF;Pl_1252;Pl_1252-S_Ch_041;Pl_1252-N_Ch_155;Tree;21;Esp_362;Uapaca acuminata;Euphorbiaceae;40;62.1;Tree;Tree;Side;Height
S_Ch_041;N_Ch_156;Chimpanzee;Chim_047;Old secondary forest;OSF;Pl_1254;Pl_1254-S_Ch_041;Pl_1254-N_Ch_156;Tree;10;Esp_362;Uapaca acuminata;Euphorbiaceae;33;25.16;Tree;Tree;Side;Height
S_Ch_041;N_Ch_157;Chimpanzee;Chim_047;Old secondary forest;OSF;Pl_1262;Pl_1262-S_Ch_041;Pl_1262-N_Ch_157;Tree;10;Esp_163;Heisteria parvifolia;Olacaceae;10;39.49;Tree;Tree;Top;Height
S_Ch_042;N_Ch_158;Chimpanzee;Chim_045;Old secondary forest;OSF;Pl_1220;Pl_1220-S_Ch_042;Pl_1220-N_Ch_158;Tree;15;Esp_163;Heisteria parvifolia;Olacaceae;23;35.99;Tree;Tree;Side;Height
S_Ch_042;N_Ch_159;Chimpanzee;Chim_045;Old secondary forest;OSF;Pl_1213;Pl_1213-S_Ch_042;Pl_1213-N_Ch_159;Liana;12;Esp_235;Millettia barteri;Fabaceae;NA;14.27;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_042;N_Ch_159;Chimpanzee;Chim_045;Old secondary forest;OSF;Pl_1212;Pl_1212-S_Ch_042;Pl_1212-N_Ch_159;Tree;12;Esp_314;Sorindeia grandifolia;Anacardiaceae;24;30.25;Mixed;Tree-Liana;Side-Liana;Height
S_Ch_042;N_Ch_160;Chimpanzee;Chim_045;Old secondary forest;OSF;Pl_1201;Pl_1201-S_Ch_042;Pl_1201-N_Ch_160;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;21;24.68;Tree;Tree;Side;Height
S_Ch_043;N_Ch_161;Chimpanzee;Chim_046;Old secondary forest;OSF;Pl_1230;Pl_1230-S_Ch_043;Pl_1230-N_Ch_161;Tree;9;Esp_314;Sorindeia grandifolia;Anacardiaceae;9;12.8;Tree;Tree-Tree;Top-Side;Height
S_Ch_043;N_Ch_161;Chimpanzee;Chim_046;Old secondary forest;OSF;Pl_1231;Pl_1231-S_Ch_043;Pl_1231-N_Ch_161;Tree;9;Esp_314;Sorindeia grandifolia;Anacardiaceae;10;15.13;Tree;Tree-Tree;Top-Side;Height
S_Ch_044;N_Ch_162;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1365;Pl_1365-S_Ch_044;Pl_1365-N_Ch_162;Tree;13;Esp_163;Heisteria parvifolia;Olacaceae;22;32.17;Tree;Tree;Side;Height
S_Ch_044;N_Ch_163;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1365;Pl_1365-S_Ch_044;Pl_1365-N_Ch_163;Tree;4;Esp_163;Heisteria parvifolia;Olacaceae;22;32.17;Tree;Tree;Side;Height
S_Ch_044;N_Ch_164;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1370;Pl_1370-S_Ch_044;Pl_1370-N_Ch_164;Tree;6;Esp_163;Heisteria parvifolia;Olacaceae;32;45.54;Tree;Tree;Side;Height
S_Ch_044;N_Ch_165;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1370;Pl_1370-S_Ch_044;Pl_1370-N_Ch_165;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;32;45.54;Tree;Tree;Side;Height
S_Ch_044;N_Ch_166;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1360;Pl_1360-S_Ch_044;Pl_1360-N_Ch_166;Tree;9;Esp_163;Heisteria parvifolia;Olacaceae;28;34.46;Tree;Tree;Side;Height
S_Ch_044;N_Ch_167;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1360;Pl_1360-S_Ch_044;Pl_1360-N_Ch_167;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;28;34.46;Tree;Tree;Side;Height
S_Ch_044;N_Ch_168;Chimpanzee;Chim_053;Old secondary forest;OSF;Pl_1360;Pl_1360-S_Ch_044;Pl_1360-N_Ch_168;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;28;34.46;Tree;Tree;Side;Height
S_Ch_045;N_Ch_169;Chimpanzee;Chim_026;Swamp;SW;Pl_0645;Pl_0645-S_Ch_045;Pl_0645-N_Ch_169;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;29;23.25;Tree;Tree;Side;Height
S_Ch_045;N_Ch_170;Chimpanzee;Chim_026;Swamp;SW;Pl_0648;Pl_0648-S_Ch_045;Pl_0648-N_Ch_170;Tree;15;Esp_304;Santiria trimera;Burseraceae;24;25.8;Tree;Tree;Side;Height
S_Ch_045;N_Ch_171;Chimpanzee;Chim_026;Swamp;SW;Pl_0627;Pl_0627-S_Ch_045;Pl_0627-N_Ch_171;Tree;34;Esp_366;Uapaca vanhoutei;Euphorbiaceae;40;64.33;Tree;Tree;Top;Height
S_Ch_046;N_Ch_172;Chimpanzee;Chim_023;Young secondary forest;YSF;Pl_0576;Pl_0576-S_Ch_046;Pl_0576-N_Ch_172;Tree;20;Esp_163;Heisteria parvifolia;Olacaceae;30;58.28;Tree;Tree;Side;Height
S_Ch_046;N_Ch_173;Chimpanzee;Chim_023;Young secondary forest;YSF;Pl_0576;Pl_0576-S_Ch_046;Pl_0576-N_Ch_173;Tree;16;Esp_163;Heisteria parvifolia;Olacaceae;30;58.28;Tree;Tree;Side;Height
S_Ch_046;N_Ch_174;Chimpanzee;Chim_023;Young secondary forest;YSF;Pl_0554;Pl_0554-S_Ch_046;Pl_0554-N_Ch_174;Tree;13;Esp_163;Heisteria parvifolia;Olacaceae;22;28.98;Tree;Tree;Side;Height
S_Ch_047;N_Ch_175;Chimpanzee;Chim_025;Old secondary forest;OSF;Pl_0619;Pl_0619-S_Ch_047;Pl_0619-N_Ch_175;Tree;14;Esp_163;Heisteria parvifolia;Olacaceae;19;35.67;Tree;Tree;Side;Height
S_Ch_047;N_Ch_176;Chimpanzee;Chim_025;Old secondary forest;OSF;Pl_0619;Pl_0619-S_Ch_047;Pl_0619-N_Ch_176;Tree;8;Esp_163;Heisteria parvifolia;Olacaceae;19;35.67;Tree;Tree;Side;Height
S_Ch_048;N_Ch_177;Chimpanzee;Chim_024;Old secondary forest;OSF;Pl_0578;Pl_0578-S_Ch_048;Pl_0578-N_Ch_177;Tree;7;Esp_163;Heisteria parvifolia;Olacaceae;10;22.93;Tree;Tree;Side;Height
S_Ch_048;N_Ch_178;Chimpanzee;Chim_024;Old secondary forest;OSF;Pl_0578;Pl_0578-S_Ch_048;Pl_0578-N_Ch_178;Tree;6;Esp_163;Heisteria parvifolia;Olacaceae;10;22.93;Tree;Tree;Side;Height
S_Ch_049;N_Ch_179;Chimpanzee;Chim_028;Swamp;SW;Pl_0707;Pl_0707-S_Ch_049;Pl_0707-N_Ch_179;Tree;33;Esp_176;Irvingia gabonensis;Irvingiaceae;35;46.5;Tree;Tree;Top;Height
S_Ch_050;N_Ch_180;Chimpanzee;Chim_027;Swamp;SW;Pl_0651;Pl_0651-S_Ch_050;Pl_0651-N_Ch_180;Tree;30;Esp_163;Heisteria parvifolia;Olacaceae;36;43.63;Tree;Tree;Side;Height
S_Ch_050;N_Ch_181;Chimpanzee;Chim_027;Swamp;SW;Pl_0651;Pl_0651-S_Ch_050;Pl_0651-N_Ch_181;Tree;27;Esp_163;Heisteria parvifolia;Olacaceae;36;43.63;Tree;Tree;Side;Height
S_Ch_051;N_Ch_182;Chimpanzee;Chim_123;Old secondary forest;OSF;Pl_3117;Pl_3117-S_Ch_051;Pl_3117-N_Ch_182;Tree;19;Esp_163;Heisteria parvifolia;Olacaceae;30;21.66;Tree;Tree;Side;Height
S_Ch_052;N_Ch_183;Chimpanzee;Chim_035;Swamp;SW;NA;NA-S_Ch_052;NA-N_Ch_183;Herb;0;Esp_009;Aframomum sp2;Zingiberaceae;NA;NA;Mixed;NA;Ground;Ground
S_Ch_052;N_Ch_183;Chimpanzee;Chim_035;Swamp;SW;NA;NA-S_Ch_052;NA-N_Ch_183;Herb;0;Esp_042;Asplenium sp;Aspleniaceae;NA;NA;Mixed;NA;Ground;Ground
